iter	Passed	Remaining
149	5490	86012
150	5525	85949
151	5554	85801
152	5601	85926
153	5644	85992
154	5686	86029
155	5720	85954
156	5755	85892
157	5786	85764
158	5820	85700
159	5861	85724
160	5899	85701
161	5933	85637
162	5966	85545
163	6000	85464
164	6034	85399
165	6069	85343
166	6106	85309
167	6144	85296
168	6180	85249
169	6214	85168
170	6247	85083
171	6285	85069
172	6319	85002
173	6354	84949
174	6391	84918
175	6426	84852
176	6461	84807
177	6499	84779
178	6534	84730
179	6567	84645
180	6598	84537
181	6632	84475
182	6665	84394
183	6704	84392
184	6738	84324
185	6770	84227
186	6801	84128
187	6837	84084
188	6871	84016
189	6908	83991
190	6944	83953
191	6977	83872
192	7009	83787
193	7040	83692
194	7072	83603
195	7104	83517
196	7149	83583
197	7183	83520
198	7221	83503
199	7253	83413
200	7285	83329
201	7320	83285
202	7354	83222
203	7391	83188
204	7425	83125
205	7461	83088
206	7494	83022
207	7526	82941
208	7566	82944
209	7601	82895
210	7635	82830
211	7669	82768
212	7705	82731
213	7750	82791
214	7794	82839
215	7835	82848
216	7867	82774
217	7900	82705
218	7932	82618
219	7965	82556
220	8001	82509
221	8038	82481
222	8071	82419
223	8108	82383
224	8145	82357
225	8179	82305
226	8219	82304
227	8255	82266
228	8287	82183
229	8322	82135
230	8352	82044
231	8386	81987
232	8421	81942
233	8462	81950
234	8498	81906
235	8530	81835
236	8567	81806
237	8599	81733
238	8630	81644
239	8665	81600
240	8700	81550
241	8732	81477
242	8764	81402
243	8801	81377
244	8834	81315
245	8868	81261
246	8903	81212
247	8934	81128
248	8966	81054
249	9004	81039
250	9045	81052
251	9079	80994
252	9118	80988
253	9155	80959
254	9188	80895
255	9224	80862
256	9264	80852
257	9299	80808
258	9333	80758
259	9366	80699
260	9399	80634
261	9430	80555
262	9464	80503
263	9503	80489
264	9534	80416
265	9568	80360
266	9603	80313
267	9639	80283
268	9676	80249
269	9710	80202
270	9745	80153
271	9779	80101
272	9813	80049
273	9846	79994
274	9880	79945
275	9917	79913
276	9951	79864
277	9985	79815
278	10018	79754
279	10051	79697
280	10090	79683
281	10128	79661
282	10162	79608
283	10193	79537
284	10227	79483
285	10259	79419
286	10294	79382
287	10332	79358
288	10365	79301
289	10395	79220
290	10430	79180
291	10463	79120
292	10495	79055
293	10531	79018
294	10570	79007
295	10607	78983
296	10639	78921
297	10675	78885
298	10711	78849
299	10750	78839
300	10785	78794
301	10821	78761
302	10854	78704
303	10886	78640
304	10923	78611
305	10956	78557
306	10995	78545
307	11029	78493
308	11067	78473
309	11110	78487
310	11146	78456
311	11185	78439
312	11222	78410
313	11253	78345
314	11289	78309
315	11325	78277
316	11359	78227
317	11395	78194
318	11430	78147
319	11463	78096
320	11496	78039
321	11527	77969
322	11559	77913
323	11594	77869
324	11631	77844
325	11665	77794
326	11700	77752
327	11731	77687
328	11764	77631
329	11803	77617
330	11851	77662
331	11896	77688
332	11934	77664
333	11968	77614
334	12000	77557
335	12033	77502
336	12073	77489
337	12110	77463
338	12146	77428
339	12178	77366
340	12208	77299
341	12241	77243
342	12282	77237
343	12316	77192
344	12348	77136
345	12380	77076
346	12415	77031
347	12449	76987
348	12483	76938
349	12520	76908
350	12551	76848
351	12582	76784
352	12618	76747
353	12650	76691
354	12682	76633
355	12716	76583
356	12750	76537
357	12786	76504
358	12820	76456
359	12853	76407
360	12883	76338
361	12918	76297
362	12956	76276
363	12992	76238
364	13032	76230
365	13064	76175
366	13103	76158
367	13138	76117
368	13178	76108
369	13211	76055
370	13245	76009
371	13277	75950
372	13308	75891
373	13343	75853
374	13378	75810
375	13413	75771
376	13446	75719
377	13480	75677
378	13510	75610
379	13541	75547
380	13577	75512
381	13613	75478
382	13646	75427
383	13679	75382
384	13714	75340
385	13755	75333
386	13799	75344
387	13831	75291
388	13864	75241
389	13902	75217
390	13935	75168
391	13968	75116
392	14003	75078
393	14040	75048
394	14076	75013
395	14109	74965
396	14143	74922
397	14175	74867
398	14204	74798
399	14245	74791
400	14280	74748
401	14313	74700
402	14345	74645
403	14376	74586
404	14407	74526
405	14445	74506
406	14481	74473
407	14514	74422
408	14548	74379
409	14582	74332
410	14616	74290
411	14648	74236
412	14685	74212
413	14719	74164
414	14753	74122
415	14787	74079
416	14816	74012
417	14853	73981
418	14891	73962
419	14922	73903
420	14957	73863
421	14990	73817
422	15022	73764
423	15061	73745
424	15098	73716
425	15133	73677
426	15171	73654
427	15204	73605
428	15235	73550
429	15265	73487
430	15305	73471
431	15340	73435
432	15371	73380
433	15408	73348
434	15438	73288
435	15475	73259
436	15513	73238
437	15552	73216
438	15590	73192
439	15623	73146
440	15656	73098
441	15699	73099
442	15736	73068
443	15770	73027
444	15802	72975
445	15835	72926
446	15869	72887
447	15899	72825
448	15940	72813
449	15978	72791
450	16013	72751
451	16045	72700
452	16082	72670
453	16114	72622
454	16153	72600
455	16185	72549
456	16218	72502
457	16251	72459
458	16283	72407
459	16315	72355
460	16354	72338
461	16386	72285
462	16419	72240
463	16453	72197
464	16484	72142
465	16514	72083
466	16547	72035
467	16587	72021
468	16620	71973
469	16652	71925
470	16687	71887
471	16720	71841
472	16755	71803
473	16791	71772
474	16825	71731
475	16857	71680
476	16890	71634
477	16925	71598
478	16962	71567
479	16997	71529
480	17033	71497
481	17072	71478
482	17106	71437
483	17137	71384
484	17170	71338
485	17211	71323
486	17243	71273
487	17277	71233
488	17314	71206
489	17348	71162
490	17377	71103
491	17409	71052
492	17441	71003
493	17474	70960
494	17507	70912
495	17542	70877
496	17578	70844
497	17611	70800
498	17644	70756
499	17678	70715
500	17711	70669
501	17743	70620
502	17776	70576
503	17808	70525
504	17846	70503
505	17880	70463
506	17918	70436
507	17953	70401
508	17987	70358
509	18020	70315
510	18058	70291
511	18094	70258
512	18126	70210
513	18160	70167
514	18193	70126
515	18237	70120
516	18271	70081
517	18307	70050
518	18343	70017
519	18374	69962
520	18406	69917
521	18441	69879
522	18478	69852
523	18510	69803
524	18542	69756
525	18574	69707
526	18603	69649
527	18639	69616
528	18678	69593
529	18709	69542
530	18741	69494
531	18774	69452
532	18807	69407
533	18844	69380
534	18880	69345
535	18917	69316
536	18949	69269
537	18982	69225
538	19015	69181
539	19055	69163
540	19089	69125
541	19122	69081
542	19154	69034
543	19187	68989
544	19220	68945
545	19252	68900
546	19290	68873
547	19323	68831
548	19357	68791
549	19389	68746
550	19421	68698
551	19459	68673
552	19497	68646
553	19529	68601
554	19561	68552
555	19591	68498
556	19622	68449
557	19661	68429
558	19697	68394
559	19731	68355
560	19768	68325
561	19800	68279
562	19832	68232
563	19871	68211
564	19917	68211
565	19959	68201
566	19996	68172
567	20030	68133
568	20069	68108
569	20107	68084
570	20141	68043
571	20174	67999
572	20206	67955
573	20238	67906
574	20269	67859
575	20303	67818
576	20342	67797
577	20377	67759
578	20410	67718
579	20444	67677
580	20474	67626
581	20507	67581
582	20543	67552
583	20578	67515
584	20612	67476
585	20647	67439
586	20685	67413
587	20717	67365
588	20754	67338
589	20790	67303
590	20823	67262
591	20855	67216
592	20886	67168
593	20921	67132
594	20952	67081
595	20989	67052
596	21025	67022
597	21065	67002
598	21099	66962
599	21135	66928
600	21166	66881
601	21197	66830
602	21234	66801
603	21268	66762
604	21301	66722
605	21333	66676
606	21367	66636
607	21402	66602
608	21439	66571
609	21471	66527
610	21508	66496
611	21544	66464
612	21578	66424
613	21615	66394
614	21647	66350
615	21679	66304
616	21713	66267
617	21744	66217
618	21778	66180
619	21818	66159
620	21855	66128
621	21887	66083
622	21921	66047
623	21957	66011
624	21989	65967
625	22026	65938
626	22063	65910
627	22097	65870
628	22131	65832
629	22164	65790
630	22200	65758
631	22241	65739
632	22272	65691
633	22302	65642
634	22333	65592
635	22367	65553
636	22401	65517
637	22435	65477
638	22472	65448
639	22508	65414
640	22541	65375
641	22576	65338
642	22608	65293
643	22644	65260
644	22681	65232
645	22715	65192
646	22747	65147
647	22782	65111
648	22814	65067
649	22847	65026
650	22883	64994
651	22917	64955
652	22953	64923
653	22985	64879
654	23021	64846
655	23060	64823
656	23091	64775
657	23122	64728
658	23152	64678
659	23185	64637
660	23222	64609
661	23256	64570
662	23294	64541
663	23326	64498
664	23358	64454
665	23391	64413
666	23424	64374
667	23464	64352
668	23499	64317
669	23537	64290
670	23569	64244
671	23603	64207
672	23633	64157
673	23666	64117
674	23703	64087
675	23737	64050
676	23771	64011
677	23801	63962
678	23833	63918
679	23868	63884
680	23905	63853
681	23940	63817
682	23973	63777
683	24009	63744
684	24042	63702
685	24076	63665
686	24112	63634
687	24146	63594
688	24179	63553
689	24213	63515
690	24248	63482
691	24282	63442
692	24318	63410
693	24349	63364
694	24383	63328
695	24418	63290
696	24450	63247
697	24492	63231
698	24530	63203
699	24566	63170
700	24600	63133
701	24634	63094
702	24668	63057
703	24704	63024
704	24737	62983
705	24768	62939
706	24801	62897
707	24838	62867
708	24871	62827
709	24908	62798
710	24942	62760
711	24976	62720
712	25016	62700
713	25048	62656
714	25084	62623
715	25117	62584
716	25145	62531
717	25178	62489
718	25212	62452
719	25247	62417
720	25279	62375
721	25312	62335
722	25350	62306
723	25381	62261
724	25411	62214
725	25443	62172
726	25478	62135
727	25512	62100
728	25544	62056
729	25582	62028
730	25615	61988
731	25649	61950
732	25684	61916
733	25716	61873
734	25751	61837
735	25782	61794
736	25821	61768
737	25855	61731
738	25886	61685
739	25918	61644
740	25949	61599
741	25982	61560
742	26019	61529
743	26058	61503
744	26090	61461
745	26125	61427
746	26162	61395
747	26196	61358
748	26227	61315
749	26259	61271
750	26296	61242
751	26330	61205
752	26364	61167
753	26398	61130
754	26433	61093
755	26465	61052
756	26501	61021
757	26536	60984
758	26568	60942
759	26599	60898
760	26633	60861
761	26671	60833
762	26706	60797
763	26739	60757
764	26770	60714
765	26801	60670
766	26832	60626
767	26865	60588
768	26902	60556
769	26933	60512
770	26964	60469
771	27002	60441
772	27040	60412
773	27077	60381
774	27113	60348
775	27148	60314
776	27180	60272
777	27214	60235
778	27247	60195
779	27282	60161
780	27320	60132
781	27352	60090
782	27382	60045
783	27414	60003
784	27448	59968
785	27483	59933
786	27517	59895
787	27553	59863
788	27585	59821
789	27619	59783
790	27652	59744
791	27685	59706
792	27718	59665
793	27752	59630
794	27792	59605
795	27824	59563
796	27857	59525
797	27888	59480
798	27921	59441
799	27952	59398
800	27990	59369
801	28029	59344
802	28061	59303
803	28099	59274
804	28135	59242
805	28166	59198
806	28201	59162
807	28236	59128
808	28273	59098
809	28303	59052
810	28338	59017
811	28369	58974
812	28403	58937
813	28433	58893
814	28474	58870
815	28511	58839
816	28544	58800
817	28576	58760
818	28614	58730
819	28646	58690
820	28681	58655
821	28715	58619
822	28748	58579
823	28778	58534
824	28811	58495
825	28843	58454
826	28875	58415
827	28911	58381
828	28941	58337
829	28978	58305
830	29013	58271
831	29047	58234
832	29083	58200
833	29120	58170
834	29155	58136
835	29189	58100
836	29222	58061
837	29256	58023
838	29291	57989
839	29326	57954
840	29361	57919
841	29393	57878
842	29426	57840
843	29459	57801
844	29492	57763
845	29531	57736
846	29566	57701
847	29599	57662
848	29630	57620
849	29662	57580
850	29695	57541
851	29729	57504
852	29765	57472
853	29798	57433
854	29832	57396
855	29865	57358
856	29900	57323
857	29935	57290
858	29987	57287
859	30032	57270
860	30070	57242
861	30100	57197
862	30129	57151
863	30168	57123
864	30202	57087
865	30235	57049
866	30269	57013
867	30303	56976
868	30340	56945
869	30376	56912
870	30408	56871
871	30445	56840
872	30481	56807
873	30515	56772
874	30550	56737
875	30587	56705
876	30620	56667
877	30651	56625
878	30685	56587
879	30718	56549
880	30748	56505
881	30784	56473
882	30819	56438
883	30849	56394
884	30883	56358
885	30917	56320
886	30950	56283
887	30986	56249
888	31028	56227
889	31061	56189
890	31094	56150
891	31127	56113
892	31159	56073
893	31191	56033
894	31225	55996
895	31262	55965
896	31296	55928
897	31327	55886
898	31358	55844
899	31390	55804
900	31424	55769
901	31460	55736
902	31494	55698
903	31532	55669
904	31565	55632
905	31597	55591
906	31626	55546
907	31664	55517
908	31695	55475
909	31728	55437
910	31762	55401
911	31794	55361
912	31832	55331
913	31869	55301
914	31904	55266
915	31936	55227
916	31973	55194
917	32006	55156
918	32042	55123
919	32077	55089
920	32112	55055
921	32148	55021
922	32182	54985
923	32217	54951
924	32250	54913
925	32286	54879
926	32317	54837
927	32352	54804
928	32384	54764
929	32418	54728
930	32450	54688
931	32486	54656
932	32516	54612
933	32550	54576
934	32582	54536
935	32614	54496
936	32652	54467
937	32690	54438
938	32725	54402
939	32759	54367
940	32793	54330
941	32826	54292
942	32868	54269
943	32902	54233
944	32935	54195
945	32972	54163
946	33006	54128
947	33040	54092
948	33074	54055
949	33109	54020
950	33141	53981
951	33174	53943
952	33208	53906
953	33239	53866
954	33274	53831
955	33307	53794
956	33340	53756
957	33373	53717
958	33405	53678
959	33436	53637
960	33470	53601
961	33503	53564
962	33538	53528
963	33571	53491
964	33602	53451
965	33636	53414
966	33669	53377
967	33704	53343
968	33737	53304
969	33771	53267
970	33803	53228
971	33836	53191
972	33868	53152
973	33905	53120
974	33934	53076
975	33970	53043
976	34002	53005
977	34038	52971
978	34068	52930
979	34104	52896
980	34141	52866
981	34173	52826
982	34204	52785
983	34238	52750
984	34271	52712
985	34308	52680
986	34338	52637
987	34374	52605
988	34407	52567
989	34440	52529
990	34473	52492
991	34506	52455
992	34543	52423
993	34574	52383
994	34608	52348
995	34644	52315
996	34674	52272
997	34707	52234
998	34742	52201
999	34779	52169
1000	34813	52133
1001	34848	52098
1002	34880	52059
1003	34912	52021
1004	34950	51991
1005	34987	51959
1006	35021	51923
1007	35054	51886
1008	35087	51849
1009	35122	51813
1010	35153	51773
1011	35183	51731
1012	35219	51699
1013	35251	51660
1014	35284	51622
1015	35316	51583
1016	35346	51543
1017	35382	51509
1018	35414	51471
1019	35451	51438
1020	35480	51396
1021	35516	51362
1022	35551	51329
1023	35583	51290
1024	35621	51260
1025	35658	51228
1026	35690	51189
1027	35725	51155
1028	35758	51118
1029	35792	51082
1030	35826	51046
1031	35861	51012
1032	35893	50973
1033	35931	50943
1034	35962	50903
1035	35993	50863
1036	36023	50822
1037	36060	50790
1038	36094	50755
1039	36128	50718
1040	36162	50682
1041	36194	50643
1042	36230	50611
1043	36267	50579
1044	36300	50542
1045	36331	50503
1046	36361	50461
1047	36398	50429
1048	36430	50391
1049	36468	50360
1050	36501	50324
1051	36535	50288
1052	36567	50249
1053	36598	50209
1054	36633	50175
1055	36663	50135
1056	36702	50106
1057	36734	50067
1058	36767	50030
1059	36797	49989
1060	36830	49952
1061	36863	49914
1062	36900	49883
1063	36938	49852
1064	36973	49818
1065	37005	49780
1066	37040	49745
1067	37073	49708
1068	37106	49672
1069	37141	49638
1070	37173	49599
1071	37205	49561
1072	37240	49526
1073	37274	49490
1074	37308	49455
1075	37346	49424
1076	37379	49388
1077	37410	49349
1078	37445	49314
1079	37478	49277
1080	37513	49242
1081	37546	49206
1082	37579	49168
1083	37611	49131
1084	37645	49095
1085	37678	49058
1086	37709	49018
1087	37747	48988
1088	37778	48949
1089	37810	48910
1090	37841	48870
1091	37872	48831
1092	37901	48790
1093	37942	48763
1094	37976	48727
1095	38007	48687
1096	38038	48649
1097	38069	48609
1098	38103	48574
1099	38138	48540
1100	38174	48507
1101	38205	48467
1102	38236	48428
1103	38266	48388
1104	38297	48349
1105	38331	48312
1106	38363	48275
1107	38401	48244
1108	38432	48205
1109	38464	48167
1110	38498	48131
1111	38531	48094
1112	38562	48056
1113	38595	48019
1114	38634	47989
1115	38669	47955
1116	38702	47918
1117	38733	47880
1118	38767	47844
1119	38800	47807
1120	38837	47775
1121	38871	47740
1122	38906	47706
1123	38941	47671
1124	38971	47631
1125	39007	47599
1126	39043	47565
1127	39074	47526
1128	39102	47484
1129	39136	47449
1130	39170	47412
1131	39201	47374
1132	39239	47343
1133	39270	47305
1134	39302	47267
1135	39339	47234
1136	39370	47196
1137	39403	47159
1138	39435	47121
1139	39470	47088
1140	39503	47051
1141	39536	47014
1142	39567	46975
1143	39598	46936
1144	39630	46898
1145	39662	46860
1146	39701	46831
1147	39732	46792
1148	39764	46755
1149	39799	46721
1150	39830	46682
1151	39869	46653
1152	39911	46627
1153	39945	46591
1154	39979	46556
1155	40015	46522
1156	40055	46495
1157	40106	46479
1158	40195	46507
1159	40229	46472
1160	40263	46436
1161	40300	46404
1162	40338	46373
1163	40368	46333
1164	40399	46295
1165	40431	46256
1166	40461	46217
1167	40495	46181
1168	40532	46149
1169	40564	46111
1170	40597	46075
1171	40632	46040
1172	40664	46003
1173	40697	45966
1174	40727	45927
1175	40765	45895
1176	40801	45862
1177	40833	45825
1178	40866	45788
1179	40907	45761
1180	40943	45728
1181	40975	45689
1182	41015	45661
1183	41047	45623
1184	41080	45587
1185	41112	45549
1186	41145	45513
1187	41180	45479
1188	41215	45444
1189	41246	45406
1190	41278	45368
1191	41312	45332
1192	41345	45296
1193	41379	45260
1194	41418	45231
1195	41451	45194
1196	41485	45159
1197	41516	45120
1198	41547	45081
1199	41578	45043
1200	41612	45007
1201	41648	44974
1202	41680	44936
1203	41709	44897
1204	41743	44861
1205	41779	44827
1206	41812	44791
1207	41843	44753
1208	41878	44719
1209	41915	44686
1210	41947	44649
1211	41979	44611
1212	42014	44577
1213	42045	44539
1214	42078	44502
1215	42115	44470
1216	42148	44433
1217	42181	44397
1218	42216	44363
1219	42248	44325
1220	42278	44286
1221	42308	44247
1222	42347	44217
1223	42376	44177
1224	42413	44144
1225	42447	44109
1226	42477	44069
1227	42509	44032
1228	42543	43997
1229	42582	43967
1230	42615	43930
1231	42645	43891
1232	42677	43854
1233	42707	43815
1234	42741	43779
1235	42774	43743
1236	42812	43711
1237	42844	43675
1238	42881	43642
1239	42915	43607
1240	42946	43569
1241	42979	43533
1242	43014	43499
1243	43052	43468
1244	43083	43429
1245	43117	43394
1246	43147	43355
1247	43180	43318
1248	43213	43282
1249	43252	43252
1250	43287	43217
1251	43320	43182
1252	43354	43147
1253	43388	43111
1254	43421	43075
1255	43454	43039
1256	43489	43005
1257	43527	42974
1258	43558	42935
1259	43592	42900
1260	43624	42863
1261	43661	42831
1262	43693	42794
1263	43728	42759
1264	43759	42721
1265	43794	42687
1266	43828	42651
1267	43859	42614
1268	43897	42582
1269	43931	42547
1270	43961	42508
1271	43993	42471
1272	44027	42436
1273	44059	42399
1274	44093	42364
1275	44125	42327
1276	44159	42292
1277	44190	42254
1278	44220	42215
1279	44255	42181
1280	44295	42151
1281	44325	42112
1282	44354	42072
1283	44388	42037
1284	44422	42002
1285	44453	41965
1286	44495	41936
1287	44530	41902
1288	44562	41865
1289	44594	41828
1290	44625	41790
1291	44656	41753
1292	44693	41721
1293	44729	41687
1294	44763	41652
1295	44795	41615
1296	44827	41578
1297	44860	41542
1298	44897	41510
1299	44934	41477
1300	44965	41440
1301	45000	41405
1302	45032	41368
1303	45066	41333
1304	45099	41298
1305	45134	41263
1306	45166	41227
1307	45200	41191
1308	45230	41153
1309	45263	41117
1310	45298	41083
1311	45334	41049
1312	45365	41012
1313	45400	40978
1314	45431	40940
1315	45465	40904
1316	45495	40866
1317	45535	40836
1318	45564	40797
1319	45596	40760
1320	45630	40725
1321	45664	40690
1322	45695	40653
1323	45731	40619
1324	45764	40583
1325	45799	40549
1326	45831	40512
1327	45870	40481
1328	45905	40448
1329	45943	40416
1330	45972	40377
1331	46004	40340
1332	46035	40302
1333	46066	40264
1334	46098	40228
1335	46134	40195
1336	46165	40157
1337	46197	40120
1338	46227	40082
1339	46262	40047
1340	46297	40013
1341	46329	39977
1342	46369	39947
1343	46402	39911
1344	46433	39874
1345	46465	39837
1346	46497	39801
1347	46529	39763
1348	46564	39729
1349	46602	39698
1350	46637	39664
1351	46670	39628
1352	46703	39592
1353	46735	39555
1354	46766	39518
1355	46804	39487
1356	46841	39454
1357	46877	39421
1358	46909	39384
1359	46940	39347
1360	46972	39310
1361	47004	39274
1362	47045	39245
1363	47078	39209
1364	47112	39173
1365	47144	39137
1366	47175	39100
1367	47208	39064
1368	47245	39031
1369	47276	38994
1370	47309	38958
1371	47342	38923
1372	47372	38885
1373	47406	38849
1374	47440	38815
1375	47472	38778
1376	47502	38740
1377	47534	38704
1378	47567	38668
1379	47601	38633
1380	47641	38603
1381	47672	38565
1382	47708	38532
1383	47740	38495
1384	47773	38460
1385	47805	38424
1386	47834	38384
1387	47876	38356
1388	47911	38322
1389	47946	38287
1390	47978	38251
1391	48014	38218
1392	48048	38183
1393	48083	38149
1394	48123	38119
1395	48158	38084
1396	48193	38050
1397	48224	38013
1398	48254	37976
1399	48290	37942
1400	48330	37912
1401	48362	37875
1402	48394	37839
1403	48425	37802
1404	48454	37763
1405	48484	37725
1406	48521	37692
1407	48557	37659
1408	48587	37621
1409	48618	37584
1410	48649	37547
1411	48681	37511
1412	48713	37474
1413	48750	37442
1414	48783	37406
1415	48815	37370
1416	48854	37338
1417	48888	37304
1418	48922	37269
1419	48956	37234
1420	48992	37201
1421	49026	37166
1422	49058	37130
1423	49093	37095
1424	49122	37057
1425	49154	37021
1426	49190	36988
1427	49223	36952
1428	49259	36918
1429	49290	36881
1430	49324	36846
1431	49359	36812
1432	49394	36778
1433	49427	36742
1434	49460	36707
1435	49492	36671
1436	49524	36635
1437	49561	36602
1438	49598	36569
1439	49631	36534
1440	49667	36500
1441	49701	36466
1442	49731	36428
1443	49763	36392
1444	49796	36356
1445	49831	36322
1446	49867	36289
1447	49899	36253
1448	49931	36216
1449	49965	36181
1450	49997	36145
1451	50036	36114
1452	50072	36081
1453	50110	36049
1454	50151	36019
1455	50192	35989
1456	50231	35958
1457	50263	35921
1458	50294	35885
1459	50327	35849
1460	50356	35811
1461	50387	35774
1462	50418	35737
1463	50452	35702
1464	50485	35667
1465	50522	35634
1466	50555	35599
1467	50585	35561
1468	50616	35524
1469	50650	35489
1470	50686	35456
1471	50719	35421
1472	50754	35386
1473	50791	35353
1474	50824	35319
1475	50864	35288
1476	50898	35253
1477	50930	35217
1478	50962	35181
1479	50997	35146
1480	51031	35112
1481	51060	35074
1482	51098	35041
1483	51133	35007
1484	51162	34969
1485	51196	34934
1486	51228	34899
1487	51260	34862
1488	51292	34826
1489	51331	34795
1490	51364	34760
1491	51399	34725
1492	51433	34690
1493	51466	34655
1494	51500	34620
1495	51532	34584
1496	51567	34550
1497	51599	34514
1498	51630	34477
1499	51660	34440
1500	51694	34405
1501	51726	34369
1502	51764	34337
1503	51798	34302
1504	51835	34269
1505	51865	34232
1506	51896	34196
1507	51928	34160
1508	51962	34124
1509	51998	34091
1510	52029	34055
1511	52061	34019
1512	52093	33983
1513	52125	33947
1514	52159	33912
1515	52191	33876
1516	52229	33843
1517	52261	33808
1518	52296	33774
1519	52329	33738
1520	52362	33703
1521	52394	33667
1522	52426	33631
1523	52462	33597
1524	52495	33562
1525	52525	33525
1526	52556	33489
1527	52590	33454
1528	52624	33419
1529	52659	33385
1530	52695	33352
1531	52729	33317
1532	52761	33281
1533	52792	33244
1534	52828	33211
1535	52859	33175
1536	52891	33138
1537	52929	33106
1538	52964	33072
1539	52995	33036
1540	53026	32999
1541	53058	32963
1542	53092	32929
1543	53125	32893
1544	53165	32862
1545	53196	32826
1546	53233	32793
1547	53263	32756
1548	53295	32720
1549	53327	32684
1550	53357	32647
1551	53396	32615
1552	53431	32581
1553	53462	32545
1554	53493	32509
1555	53524	32472
1556	53558	32437
1557	53590	32401
1558	53630	32370
1559	53665	32337
1560	53696	32300
1561	53728	32264
1562	53762	32229
1563	53792	32193
1564	53826	32158
1565	53864	32126
1566	53900	32092
1567	53934	32058
1568	53967	32022
1569	54000	31987
1570	54033	31952
1571	54069	31918
1572	54106	31886
1573	54139	31850
1574	54172	31815
1575	54205	31780
1576	54236	31744
1577	54271	31710
1578	54306	31675
1579	54339	31640
1580	54372	31605
1581	54406	31570
1582	54438	31535
1583	54469	31498
1584	54506	31466
1585	54540	31431
1586	54576	31397
1587	54607	31361
1588	54639	31325
1589	54673	31290
1590	54710	31258
1591	54743	31222
1592	54775	31187
1593	54810	31153
1594	54845	31119
1595	54879	31084
1596	54916	31051
1597	54950	31016
1598	54980	30980
1599	55013	30944
1600	55047	30910
1601	55080	30875
1602	55116	30841
1603	55147	30805
1604	55178	30769
1605	55209	30733
1606	55244	30698
1607	55279	30665
1608	55316	30631
1609	55352	30598
1610	55382	30562
1611	55414	30526
1612	55445	30489
1613	55487	30459
1614	55522	30425
1615	55555	30390
1616	55587	30354
1617	55622	30320
1618	55663	30289
1619	55700	30257
1620	55734	30222
1621	55763	30185
1622	55799	30151
1623	55832	30116
1624	55864	30080
1625	55899	30047
1626	55935	30013
1627	55967	29977
1628	55999	29942
1629	56031	29906
1630	56061	29869
1631	56092	29833
1632	56128	29800
1633	56159	29763
1634	56193	29729
1635	56225	29693
1636	56256	29657
1637	56291	29623
1638	56325	29588
1639	56364	29556
1640	56397	29522
1641	56432	29487
1642	56462	29451
1643	56494	29415
1644	56527	29380
1645	56562	29346
1646	56598	29313
1647	56633	29278
1648	56664	29242
1649	56692	29205
1650	56725	29170
1651	56757	29134
1652	56799	29103
1653	56834	29070
1654	56868	29035
1655	56904	29002
1656	56934	28965
1657	56967	28930
1658	57001	28895
1659	57036	28861
1660	57072	28828
1661	57103	28792
1662	57137	28757
1663	57170	28722
1664	57203	28687
1665	57237	28652
