iter	Logloss
330	0.2382515603
331	0.2381611868
332	0.238073209
333	0.2380028097
334	0.2378489279
335	0.2376658844
336	0.2376178352
337	0.2375538459
338	0.2374000356
339	0.2371720595
340	0.2371304889
341	0.2370356704
342	0.2368977877
343	0.2368393259
344	0.2367688445
345	0.2366819934
346	0.2366425296
347	0.2361861152
348	0.2359615842
349	0.2359029646
350	0.2358402183
351	0.2357722964
352	0.235418452
353	0.2353752632
354	0.235323279
355	0.2350285604
356	0.2349851067
357	0.2349112912
358	0.2348415856
359	0.234772814
360	0.2347264601
361	0.2346655853
362	0.2345843637
363	0.2345234658
364	0.2344656468
365	0.2343889451
366	0.2343046326
367	0.2341652411
368	0.2340961785
369	0.2340052378
370	0.2339365467
371	0.2338838119
372	0.2338080719
373	0.2337428914
374	0.2336648054
375	0.2336093288
376	0.2335402511
377	0.233457781
378	0.2334178272
379	0.233375344
380	0.2333163729
381	0.2332451715
382	0.233194724
383	0.2331299233
384	0.2329969324
385	0.2328704374
386	0.2327970292
387	0.2327244179
388	0.2326486692
389	0.2324621422
390	0.232410232
391	0.2323663518
392	0.2323270763
393	0.2322740251
394	0.2322263614
395	0.2321833026
396	0.2321292226
397	0.2320726189
398	0.2320310289
399	0.2319747416
400	0.2318993515
401	0.2318376331
402	0.2317815046
403	0.2317298199
404	0.2316990024
405	0.2316205209
406	0.2315102901
407	0.231460211
408	0.2311501962
409	0.2309752449
410	0.2309350205
411	0.2308848313
412	0.2308389497
413	0.2306684975
414	0.2305937329
415	0.2305520484
416	0.2304202807
417	0.23035055
418	0.2302793228
419	0.2302242083
420	0.2301749403
421	0.2301329817
422	0.2300895694
423	0.2300551257
424	0.2300162369
425	0.2299418127
426	0.2297987896
427	0.2295564867
428	0.2295181452
429	0.2294818283
430	0.2294389311
431	0.2291843583
432	0.229142006
433	0.2290850886
434	0.2290525512
435	0.2289921723
436	0.2289374046
437	0.2288918304
438	0.2288322618
439	0.2287801601
440	0.2285760134
441	0.2285264793
442	0.2284797312
443	0.2283176894
444	0.2282784316
445	0.2282346056
446	0.2280264457
447	0.2279958357
448	0.2279247821
449	0.2278698384
450	0.2277505854
451	0.2277080182
452	0.2276640336
453	0.2276281238
454	0.2275663392
455	0.2275196204
456	0.227464485
457	0.2274062177
458	0.2273544201
459	0.227322287
460	0.227236151
461	0.2272000332
462	0.227148954
463	0.2271076607
464	0.2270630761
465	0.2270353369
466	0.2269810365
467	0.2269240626
468	0.2268912746
469	0.2268475688
470	0.2267699836
471	0.2267308839
472	0.2266818314
473	0.2264650954
474	0.2264361943
475	0.2263907334
476	0.2263387962
477	0.2262755947
478	0.2262220902
479	0.2261762388
480	0.2261245034
481	0.2259688695
482	0.2259229937
483	0.225820528
484	0.2257515464
485	0.2256720805
486	0.2256368733
487	0.2256034713
488	0.2255585822
489	0.2254944535
490	0.225464934
491	0.2254306556
492	0.2253961239
493	0.2253535629
494	0.2253161205
495	0.225210666
496	0.2251475371
497	0.2251134366
498	0.2250072595
499	0.2249575554
500	0.2249277624
501	0.224886089
502	0.2248274987
503	0.2247934086
504	0.2247373749
505	0.2246994142
506	0.2246517727
507	0.2245377562
508	0.2244851877
509	0.2244467178
510	0.2244142704
511	0.2243666836
512	0.2243104244
513	0.2242685779
514	0.2242233999
515	0.2241629749
516	0.2241291139
517	0.2240933269
518	0.2240546135
519	0.2240265977
520	0.223983291
521	0.2239398334
522	0.2238651803
523	0.2238342128
524	0.2238024672
525	0.2237612773
526	0.2237369999
527	0.2237002058
528	0.2236480895
529	0.2235586056
530	0.2235193871
531	0.2234798533
532	0.2234356497
533	0.2233975193
534	0.2233636791
535	0.2232699804
536	0.2232432811
537	0.2232066971
538	0.2231732793
539	0.2231294789
540	0.2230901374
541	0.2230562698
542	0.2230182621
543	0.2229760979
544	0.2229414283
545	0.2229179345
546	0.2228610318
547	0.222830143
548	0.222776211
549	0.2227009552
550	0.222658825
551	0.2226225163
552	0.2225938282
553	0.2225639176
554	0.2225201969
555	0.2224913494
556	0.2224539812
557	0.2224060151
558	0.2222816446
559	0.2222518598
560	0.2222140451
561	0.2221831955
562	0.2221449706
563	0.2221049269
564	0.222063983
565	0.2220355209
566	0.2220092215
567	0.2219148243
568	0.22183417
569	0.2217759631
570	0.2217331282
571	0.2216975558
572	0.2216614182
573	0.2216294515
574	0.2216008855
575	0.2215693193
576	0.221517608
577	0.2214679882
578	0.2213879015
579	0.2213514944
580	0.2213089773
581	0.2212672305
582	0.2212268195
583	0.2211910905
584	0.2211583953
585	0.2211252468
586	0.2210681704
587	0.2210375117
588	0.2209950322
589	0.2209518624
590	0.220836426
591	0.2208028885
592	0.220749582
593	0.2207137467
594	0.220692797
595	0.2206532294
596	0.2206140556
597	0.220570512
598	0.2205133249
599	0.2204720216
600	0.220441405
601	0.2202930788
602	0.2202559737
603	0.2202104961
604	0.2201594591
605	0.2201161962
606	0.2200664049
607	0.2200086526
608	0.2199754992
609	0.21992135
610	0.2198708317
611	0.2198301336
612	0.2197377247
613	0.2197120255
614	0.2196801885
615	0.2195755723
616	0.2195386326
617	0.2195100959
618	0.2194636665
619	0.2194184392
620	0.2193043322
621	0.2192615528
622	0.2192281613
623	0.2191885435
624	0.2191509272
625	0.219107164
626	0.2190782843
627	0.219034172
628	0.2189982121
629	0.218957576
630	0.2189212743
631	0.2188322451
632	0.2187971441
633	0.2187693958
634	0.2187477965
635	0.2187001195
636	0.2186489167
637	0.2186076586
638	0.2185585457
639	0.218515314
640	0.2184735561
641	0.2184433111
642	0.2183954847
643	0.2183552926
644	0.2183196459
645	0.2182848379
646	0.2182516264
647	0.2182181672
648	0.2181795467
649	0.2181477085
650	0.2181115434
651	0.2180816581
652	0.2180440633
653	0.2180105595
654	0.2179787634
655	0.2179369938
656	0.2179058119
657	0.2178764189
658	0.2177587507
659	0.217728707
660	0.2176799546
661	0.2175988142
662	0.2175663092
663	0.2175322789
664	0.2174913213
665	0.2174673399
666	0.2174328252
667	0.217390188
668	0.2173447228
669	0.2173065794
670	0.2172798453
671	0.2172429493
672	0.2172138291
673	0.2171922866
674	0.2171564692
675	0.2171176091
676	0.2170758628
677	0.217057714
678	0.217021078
679	0.2169864206
680	0.2169542224
681	0.2169062238
682	0.2168762437
683	0.216847826
684	0.2168208583
685	0.2167928097
686	0.2167682534
687	0.2167222431
688	0.2166941046
689	0.2165965891
690	0.2165628129
691	0.216540944
692	0.2165122381
693	0.2164827663
694	0.216448001
695	0.2164035714
696	0.2163687051
697	0.216327068
698	0.2162906769
699	0.2160586333
700	0.2160285747
701	0.2159891291
702	0.2159591947
703	0.2159324859
704	0.2158537207
705	0.2158257126
706	0.2158015347
707	0.2157572671
708	0.2157325646
709	0.215699032
710	0.2156695716
711	0.2155764551
712	0.2155326948
713	0.2154970739
714	0.2154632572
715	0.2154439445
716	0.2154281314
717	0.215396966
718	0.2153568906
719	0.2153152959
720	0.2152878062
721	0.2152187843
722	0.2151829754
723	0.2151525182
724	0.2151196085
725	0.2150636558
726	0.21503715
727	0.215005994
728	0.2149785251
729	0.2149442591
730	0.2148733602
731	0.2148473037
732	0.2147684014
733	0.2147474768
734	0.2147154059
735	0.2146908795
736	0.2146535638
737	0.2146226873
738	0.2145978761
739	0.2145624411
740	0.2145270419
741	0.2144917429
